Gelechiidae species name
Acanthophila bimaculata  (Liu & Qian)
Acompsia antirrhinella  MilliÃƒÂ¨re
Acompsia tripunctella  Denis & Schiff.
Agnippe biscolorella  Chambers
Agnippe evippeella  Busck
Altenia scriptella  Hubner
Amblypalpis   
Amblypalpis olivierella  Ragonot
Amblypalpis tamaricella  Danilevsky
Anacampsis   
Anacampsis agrimoniella  Clemens
Anacampsis argyrothamniella  Busck
Anacampsis blattariella  Hubner
Anacampsis cornifer  Walsingham
Anacampsis fragariella  Busck
Anacampsis hirsutella  Constant
Anacampsis humilis  Hodges
Anacampsis innocuella  Zeller
Anacampsis insularis  Walsingham
Anacampsis karmeliella  Amsel
Anacampsis lacteusochrella  Chambers
Anacampsis lagunculariella  Busck
Anacampsis lupinella  Busck
Anacampsis meibomiella  Forbes
Anacampsis mongolicae  Park
Anacampsis niveopulvella  Chambers
Anacampsis nonstrigella  Busck
Anacampsis obscurella  Denis & Schiff.
Anacampsis okui  Park
Anacampsis populella  Clerck
Anacampsis quercella  ChrÃƒÂ©tien
Anacampsis rhoifructella  Clemens
Anacampsis rivalis  Meyrick
Anacampsis sacramenta  Keifer
Anacampsis scintillella  Fischer v. RÃƒÂ¶sl.
Anacampsis temerella  Lienig & Zeller
Anacampsis trifoliella  Constant
Anacampsis tristrigella  Walsingham
Anarsia
Anarsia   
Anarsia acaciae  Walsingham
Anarsia acerata  Meyrick
Anarsia aleurodes  Meyrick
Anarsia altercata  Meyrick
Anarsia amegarta  Meyrick
Anarsia arachniota  Meyrick
Anarsia bimaculata  Ponomarenko
Anarsia bipinnata  Meyrick
Anarsia citromitra  Meyrick
Anarsia didymopa  Meyrick
Anarsia dryinopa  Lower
Anarsia eleagnella  Kuznetsov
Anarsia ephippias  Meyrick
Anarsia epotias  Meyrick
Anarsia eutacta  Meyrick
Anarsia guiera  Bradley
Anarsia halimodendri  Christoph
Anarsia idioptila  Meyrick
Anarsia isogona  Meyrick
Anarsia lineatella  Zeller
Anarsia melanchropa  Meyrick
Anarsia molybdota  Meyrick
Anarsia nigricana  Park
Anarsia nr. acaciae  Walsingham
Anarsia nr. reciproca  Meyrick
Anarsia omoptila  Meyrick
Anarsia patulella  Walker
Anarsia patulella?  Walker
Anarsia protensa  Park
Anarsia reciproca  Meyrick
Anarsia retamella  ChrÃƒÂ©tien
Anarsia sagittaria  Meyrick
Anarsia sagmatica  Meyrick
Anarsia sp.
Anarsia spartiella  Schrank
Anarsia triaenota  Meyrick
Anarsia trichodeta  Meyrick
Anarsia tricornis  Meyrick
Anarsia triglypta  Meyrick
Anarsia veruta  Meyrick
Anasphaltis renigerella  Zeller
Anisoplaca achyrota  Meyrick
Anisoplaca ptyoptera  Meyrick
Anthistarcha binocularis  Meyrick
Apatetris agenjoi  GozmÃƒÂ¡ny
Apatetris caecivaga  Meyrick
Apatetris echiochilonella  ChrÃƒÂ©tien
Apatetris halimilignella  Walsingham
Apatetris melanombra  Meyrick
Apatetris miarodes  Meyrick
Apatetris?   
Apodia bifractella  Duponchel
Aponoea obtusipalpis  Walsingham
Aponoea pruinosella  ChrÃƒÂ©tien
Apotistatus leucostictus  Walsingham
Aproaerema anthyllidella  Hubner
Aproaerema modicella  Deventer
Ardozyga albifrons  Turner
Ardozyga amblopis  Meyrick
Ardozyga blacica  Turner
Ardozyga compsochroa  Meyrick
Ardozyga lithina  Lower
Ardozyga mesachra  Lower
Ardozyga mesochra  Lower
Ardozyga nyctias  Meyrick
Ardozyga odorifera  Meyrick
Ardozyga sp.  
Argolamprotes micella  Denis & Schiff.
Argyrolacia bifida  Keifer
Aristotelia
Aristotelia   
Aristotelia adceanotha  Keifer
Aristotelia adenostomae  Keifer
Aristotelia amelanchierella  Braun
Aristotelia argentifera  Busck
Aristotelia articulata  Meyrick
Aristotelia benedenii  Weyenbergh
Aristotelia brizella  Treitschke
Aristotelia corallina  Walsingham
Aristotelia decurtella  Hubner
Aristotelia eldorada  Keifer
Aristotelia ericinella  Zeller
Aristotelia eupatoriella  Busck
Aristotelia frankeniae  Walsingham
Aristotelia fungivorella  Clemens
Aristotelia galeotis  Meyrick
Aristotelia ivae  Busck
Aristotelia lespedezae  Braun
Aristotelia mesotenebrella Park
Aristotelia minimella  sensu Forbes
Aristotelia multistrigella  Ragonot
Aristotelia palamota  Meyrick
Aristotelia pancaliella  Staudinger
Aristotelia physaliella  Chambers
Aristotelia psoraleae  Braun
Aristotelia pudibundella  Zeller
Aristotelia pullusella  Chambers
Aristotelia rhamnina  Keifer
Aristotelia rhoisella  Busck
Aristotelia robusta  Braun
Aristotelia roseosuffusella  Clemens
Aristotelia rubidella  Clemens
Aristotelia salicifungiella  Clemens
Aristotelia sp.
Aristotelia sp.  
Aristotelia staticella  MilliÃƒÂ¨re
Aristotelia subdecurtella  Stainton
Aristotelia subericinella  Duponchel
Aristotelia turbida  Turner
Aristotelia urbaurea  Keifer
Aristotelia wachtlii  Rogenhofer
Aristotelia zetetica  Meyrick
Arla diversella  Busck
Aroga alleriella  Busck
Aroga argutiola  Hodges
Aroga aristotelis  MilliÃƒÂ¨re
Aroga eldorada  Keifer
Aroga eriogonella  Clarke
Aroga flavicomella  Zeller
Aroga gozmanyi Park
Aroga mesostrepta (Meyrick)
Aroga rigidae  Clarke
Aroga sp. A  
Aroga sp. B  
Aroga trialbamaculella  Chambers
Aroga trilineella  Chambers
Aroga velocella  Zeller
Arogalea cristifasciella  Chambers
Athrips fagoniae  Walsingham
Athrips medjella  ChrÃƒÂ©tien
Athrips mouffetella  Linnaeus
Athrips nigricostella  Duponchel
Athrips nitrariella  ChrÃƒÂ©tien
Athrips pruinosella  Zeller
Athrips rancidella  Herrich-SchÃƒÂ¤ffer
Athrips studiosa  Meyrick
Athrips tetrapunctella  Thunberg
Athrips thymifoliella  Constant
Atremaea lonchoptera  Staudinger
Battaristis vittella  Busck
Besciva nr. longitudinella  Busck
Bilobata subsecivella  Zeller
Brachmia ballotella  Amsel
Brachmia blandella  Fabricius
Brachmia deltopis  Meyrick
Brachmia inornatella  Douglas
Brachmia insulsa  Meyrick
Brachmia japonicella  Zeller
Brachmia resoluta  Meyrick
Brachmia?   
Brachyacma palpigera  Walsingham
Bryotropha basaltinella  Zeller
Bryotropha galbanella  Zeller
Bryotropha plebeiella  Zeller
Bryotropha terrella  Denis & Schiff.
Bucolarcha geodes  Meyrick
Calliprora sexstrigella  Chambers
